Question_Number,Domain,Question_Text,Your_Answer,Correct_Answer,Is_Correct,Confidence,Flagged,Your_Notes,Explanation,Time_Elapsed_Seconds
61,Design High-Performing Architectures,"A company runs an application that needs to process events in the exact order they are produced, with no duplicates. Events are produced by 50 different sources (e.g., 50 different devices). Total throughput is about 500 events/second. Which solution meets these requirements?",B,B,Yes,Somewhat Sure,No,"","SQS FIFO queues provide exactly-once processing and strict ordering within message groups. Using the device ID as the message group ID ensures per-device ordering while allowing parallelism across devices. FIFO queues support up to 3,000 messages/second with batching (300 without), which handles 500 events/second. Kinesis maintains per-shard ordering but doesn't guarantee exactly-once.",6076
62,Design Resilient Architectures,"A company has a web application where user uploads are stored on EBS volumes attached to EC2 instances. When an instance fails, the uploaded files are lost. How should the architect redesign the storage to ensure durability and availability?",C,C,Yes,Somewhat Sure,No,"","S3 provides 99.999999999% (11 nines) durability, is decoupled from EC2 instances, and serves as a highly available storage backend. CloudFront provides edge caching for faster downloads. EFS would also work for shared storage, but S3 is more cost-effective for file storage that doesn't need POSIX semantics. EBS snapshots still risk data loss between snapshots.",6076
63,Design Secure Architectures,"A company needs to create an AWS architecture where a Lambda function accesses resources in a VPC (RDS database) AND also needs to call external APIs over the internet. How should this be configured?",D,B,No,Unsure,No,"","When Lambda is deployed in a VPC, it only has access to VPC resources by default (no internet access). To also access external APIs, the Lambda function must be in a private subnet with a route to a NAT Gateway in a public subnet. This allows outbound internet access while maintaining access to VPC resources like RDS. Lambda functions cannot be placed in public subnets for internet access.",6076
64,Design Cost-Optimized Architectures,"A company uses a multi-AZ RDS MySQL db.r5.2xlarge instance for a non-critical internal analytics application. The database is only queried during business hours and CPU utilization during queries averages 20%. How can costs be reduced MOST?",A,B,No,Unsure,No,"","Aurora Serverless v2 scales capacity up and down automatically based on demand, charging only for the capacity used. For an application only queried during business hours with low utilization, this eliminates paying for idle capacity. Since it's non-critical, Multi-AZ isn't required. Aurora Serverless v2 can scale to near-zero during off-hours. Single-AZ RDS right-sizing also helps but still wastes resources during off-hours.",6076
65,Design Resilient Architectures,"A company has a Lambda function that processes messages from an SQS queue. Occasionally, a message causes the Lambda function to fail. The message keeps returning to the queue and causes repeated failures, blocking other messages. How should this be resolved?",B,B,Yes,Confident,No,"","A dead-letter queue (DLQ) with maxReceiveCount captures messages that fail processing after a specified number of attempts (e.g., 3). This prevents poison messages from blocking the queue indefinitely. The team can then investigate and fix the failed messages separately. Increasing timeout or visibility timeout doesn't solve the underlying failure. Deleting in catch block loses the message for debugging.",6076

--- DOMAIN SUMMARY ---
Domain,Questions,Correct,Percentage
Design Secure Architectures,22,14,63.6%
Design Resilient Architectures,17,11,64.7%
Design High-Performing Architectures,14,8,57.1%
Design Cost-Optimized Architectures,12,8,66.7%

--- CONFIDENCE ANALYSIS ---
Confidence_Level,Total,Correct,Accuracy
Guessing,2,1,50.0%
Unsure,9,3,33.3%
Somewhat Sure,20,14,70.0%
Confident,28,20,71.4%
(No rating),6,3,50.0%

--- OVERALL ---
Total Score,41/65,63.1%
Time,101 minutes
Pass Threshold,72%
Result,FAIL
